序号,姓名,势力,军团,所属,所在,身分,官职,忠诚,功绩,统御,武力,智力,政治,魅力,五围和,体力,头像,性别,登场年,出生年,死亡年,死因,血缘,父亲,母亲,配偶,义兄弟,世代,相性,亲近武将,亲近武将,亲近武将,亲近武将,亲近武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,登场预定君主,枪兵适性,戟兵适性,弩兵适性,骑兵适性,兵器适性,水军适性,枪兵经验,戟兵经验,弩兵经验,骑兵经验,兵器经验,水军经验,统率经验,武力经验,智力经验,政治经验,魅力经验,统御变动,武力变动,智力变动,政治变动,魅力变动,出身地,特技,舌战得意话题,义理,野望,起用,性格,音声,口调,汉室,战略倾向,地元执着,すけるとん,头盔,面部,上身,披风,护腕,下身,箭袋,パーツ,武器·左,武器·右,马,头像变更年龄,lp124,任务,任务对象,lp140_1,lp140_2,lp140_3,lp140_4,lp140_5,留守Counter,伤病,旧势力,仕官禁止君主,仕官禁止期间,捕虏月数Counter,年初功绩
677,沈括,,,开封,开封,未发现,,0,0,51,51,83,75,54,314,100,1804,男,150,130,229,自然死,677,,,,,1,58,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,发明,道理,普通,普通,实绩,小心,小心,普通,普通,现状维持,漫不经心,0,11,75,116,255,116,116,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
678,张居正,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,49,56,82,115,52,354,100,1746,男,150,130,229,自然死,678,,,,,1,91,徐阶,戚继光,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,,故事,情理坚定,普通,能力,刚胆,刚胆,威严,普通,中华统一,临机应变,0,97,47,80,255,89,89,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
679,谭纶,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,82,72,72,66,71,363,100,1747,男,150,130,229,自然死,679,,,,,1,90,戚继光,,,,,,,,,,,Ｂ,Ａ,Ａ,Ｂ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,,时节,情理坚定,普通,实绩,冷静,冷静,丁宁,重视,地方统一,重视,0,21,93,84,3,84,84,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
680,俞大猷,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,85,86,74,67,79,391,100,1748,男,150,130,229,自然死,680,,,,,1,89,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｂ,Ｓ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,,道理,不会背叛,较低,能力,冷静,冷静,普通,重视,地方统一,临机应变,0,26,79,76,76,4,103,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
681,戚继光,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,97,83,78,68,87,413,100,1749,男,150,130,229,自然死,681,,,,,1,88,张居正,谭纶,,,,,,,,,,Ａ,Ｓ,Ａ,Ｓ,Ｓ+20%,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,工神,故事,不会背叛,普通,能力,冷静,冷静,普通,重视,中华统一,临机应变,0,20,18,76,4,4,4,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
682,刘綎,,,金陵,金陵,未发现,,0,0,70,95,39,23,36,263,100,1750,男,150,130,229,不自然死,682,,,,,1,86,,,,,,邓子龙,,,,,,Ａ,Ａ,Ａ,Ｂ,Ｃ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,益州,戟将,时节,情理坚定,普通,实绩,猪突,莽撞,普通,普通,州统一,漫不经心,0,73,38,6,94,6,6,255,255,255,2,255,255,8,,,,,,,,0,健康,,,0,0,0
683,李成梁,,,金陵,金陵,未发现,,0,0,82,80,60,56,43,321,100,1751,男,150,130,229,自然死,683,,,,,1,95,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｓ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,亲乌,时节,普通,普通,实绩,刚胆,刚胆,蛮族,普通,现状维持,重视,0,112,44,112,76,112,6,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
684,李如松,,,金陵,金陵,未发现,,0,0,83,79,52,38,50,302,100,1752,男,165,145,244,不自然死,683,李成梁,,,,2,95,,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ｓ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,射程,道理,情理坚定,普通,能力,猪突,莽撞,普通,普通,中华统一,重视,0,75,25,76,85,76,103,255,255,255,255,255,255,176,,,,,,,,0,健康,,,0,0,0
685,麻贵,,,金陵,金陵,未发现,,0,0,77,81,50,48,59,315,100,1753,男,150,130,229,自然死,685,,,,,1,92,,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,情理坚定,普通,实绩,刚胆,刚胆,蛮族,普通,地方统一,重视,2,20,80,30,255,30,30,255,255,255,255,255,255,40,,,,,,,,0,健康,,,0,0,0
686,陈璘,,,金陵,金陵,未发现,,0,0,79,80,66,36,42,303,100,1754,男,150,130,229,自然死,686,,,,,1,87,,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ｃ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆南,水将,时节,情理坚定,普通,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,119,74,120,11,121,121,255,255,255,255,255,255,80,,,,,,,,0,健康,,,0,0,0
687,邓子龙,,,金陵,金陵,未发现,,0,0,73,87,51,39,48,298,100,1755,男,150,130,229,不自然死,687,,,,,1,89,,,,,,刘綎,,,,,,Ａ,Ａ,Ｂ,Ｃ,Ｂ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,强袭,时节,情理坚定,普通,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,75,44,76,76,76,76,255,255,255,255,255,255,40,,,,,,,,0,健康,,,0,0,0
688,孙承宗,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,69,56,86,79,66,356,100,1756,男,150,130,229,不自然死,688,,,,,1,88,,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,築城,故事,不会背叛,普通,能力,冷静,冷静,普通,重视,地方统一,重视,0,98,61,76,76,103,103,255,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
689,熊廷弼,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,79,76,81,75,46,357,100,1757,男,150,130,229,不自然死,689,,,,,1,86,,,,,,,,,,,,Ｂ,Ａ,Ｂ,Ｂ,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,屯田,道理,情理坚定,较高,能力,刚胆,刚胆,普通,普通,地方统一,临机应变,0,36,48,103,76,103,103,255,255,255,255,255,255,688,,,,,,,,0,健康,,,0,0,0
690,袁崇焕,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,85,67,73,57,64,346,100,1758,男,150,130,229,不自然死,690,,,,,1,87,,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ａ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆南,射程,道理,情理坚定,较高,能力,刚胆,刚胆,普通,普通,地方统一,临机应变,0,98,18,88,11,88,88,255,255,255,255,255,255,568,,,,,,,,0,健康,,,0,0,0
691,徐光启,,,金陵,金陵,未发现,,0,0,57,47,81,81,60,326,100,1759,男,150,130,229,自然死,691,,,,,1,93,,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｃ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,发明,道理,情理坚定,普通,能力,冷静,冷静,普通,重视,现状维持,重视,0,88,88,88,255,88,88,255,255,255,255,255,255,64,,,,,,,,0,健康,,,0,0,0
692,郑成功,,,金陵,金陵,未发现,,0,0,87,76,65,78,77,383,100,1761,男,150,130,229,自然死,692,,,,,1,95,李定国,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ｃ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,水神,故事,普通,较高,实绩,冷静,冷静,威严,无视,地方统一,重视,0,102,94,93,85,94,4,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
693,李定国,,,金陵,金陵,未发现,,0,0,88,89,80,62,81,400,100,1762,男,150,130,229,自然死,693,,,,,1,86,郑成功,,,,,,,,,,,Ｓ,Ａ,Ａ,Ｃ,Ｂ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,待伏,道理,情理坚定,普通,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,20,3,103,76,103,4,255,255,255,255,255,255,168,,,,,,,,0,健康,,,0,0,0
694,史可法,,,金陵,金陵,未发现,,0,0,62,62,71,76,84,355,100,1763,男,150,130,229,不自然死,694,,,,,1,89,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｃ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,不屈,故事,不会背叛,普通,义理,刚胆,刚胆,丁宁,重视,地方统一,重视,0,97,98,94,94,93,93,255,255,255,255,255,255,224,,,,,,,,0,健康,,,0,0,0
695,邓愈,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,83,87,60,71,78,379,100,1726,男,150,130,229,自然死,695,,,,,1,92,,,,,,,,,,,,Ｂ,Ａ,Ｃ,Ａ,Ｓ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,攻城,道理,情理坚定,普通,实绩,小心,小心,普通,普通,中华统一,重视,0,25,55,93,85,8,93,255,255,255,255,255,255,576,,,,,,,,0,健康,,,0,0,0
696,汤和,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,77,77,80,63,67,364,100,1727,男,150,130,229,自然死,696,,,,,1,90,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｂ,Ｃ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,操舵,道理,情理坚定,普通,义理,冷静,冷静,普通,普通,中华统一,重视,0,112,25,112,85,111,112,255,255,255,255,255,255,704,,,,,,,,0,健康,,,0,0,0
697,吴三桂,吴三桂,吴三桂,雲南,雲南,君主,,120,2000,78,86,51,39,35,289,100,1825,男,150,130,229,不自然死,697,,,,,1,95,,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ｓ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,怒发,时节,容易背叛,高,实绩,猪突,莽撞,乱暴,无视,中华统一,漫不经心,0,75,75,103,255,103,103,255,255,255,255,255,255,680,,,,,,,,0,健康,,,0,0,0
698,董卓,,,雲南,雲南,未发现,,0,0,68,84,56,26,38,272,100,68,男,150,130,229,不自然死,698,,,,,1,15,,,,,,袁绍,皇甫嵩,,,,,Ｃ,Ｂ,Ｂ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,繁殖,道理,容易背叛,高,实绩,猪突,莽撞,乱暴,无视,中华统一,重视,0,80,2,80,255,80,80,255,255,255,1,255,255,136,,,,,,,,0,健康,,,0,0,0
699,王莽,,,雲南,雲南,未发现,,0,0,32,58,77,72,54,293,100,1863,男,150,130,229,不自然死,699,,,,,1,60,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,名声,故事,容易背叛,高,名声,刚胆,刚胆,尊大,无视,中华统一,重视,0,49,47,49,255,49,49,255,255,255,255,255,255,184,,,,,,,,0,健康,,,0,0,0
700,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,563,男,184,184,281,自然死,700,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,70,70,70,255,70,70,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
701,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,564,男,184,184,281,自然死,701,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,70,11,70,255,70,70,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
702,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,565,男,184,184,281,自然死,702,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,70,11,70,255,70,70,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
703,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,496,男,184,184,281,自然死,703,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,116,116,116,255,116,116,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
704,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,497,男,184,184,281,自然死,704,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,110,116,116,255,116,116,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
705,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,498,男,184,184,281,自然死,705,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,普通,中华统一,临机应变,0,110,115,116,255,116,116,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
706,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,499,男,184,184,281,自然死,706,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,119,120,125,255,125,125,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
707,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,500,男,184,184,281,自然死,707,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,110,89,89,255,89,89,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
708,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,501,男,184,184,281,自然死,708,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,110,89,89,255,89,89,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
709,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,296,男,184,184,281,自然死,709,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,普通,中华统一,临机应变,0,92,97,98,255,98,98,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
710,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,770,男,184,184,281,自然死,710,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,101,88,89,255,89,89,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
711,事件,,,,,死亡,无,0,0,1,1,1,1,1,5,100,731,男,184,184,281,自然死,711,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,南中,,故事,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,107,107,107,255,107,107,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
712,姜子牙,,,虎牢关,虎牢关,,无,0,0,110,60,120,100,90,480,100,1169,男,184,184,281,自然死,712,,,,,0,0,,,,,,,,,,,,Ｓ,Ｓ,Ｓ,Ｓ,Ｓ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,青徐,鬼门,时节,不会背叛,较高,能力,冷静,冷静,威严,普通,中华统一,漫不经心,3,116,61,116,255,116,116,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
713,周公旦,,,潼关,潼关,,无,0,0,80,70,90,120,120,480,100,1170,男,184,184,281,自然死,713,,,,,0,0,,,,,,,,,,,,Ａ,Ａ,Ａ,Ａ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,京兆,,故事,普通,较低,名声,冷静,冷静,普通,普通,现状维持,漫不经心,0,74,74,80,255,80,80,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
714,盗贼,,,,,,无,0,0,1,1,1,1,1,5,100,668,男,184,184,281,自然死,714,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,时节,容易背叛,普通,任意,猪突,莽撞,乱暴,无视,现状维持,重视,0,119,119,119,255,119,119,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
715,文官,,,,,,无,0,0,1,1,1,1,1,5,100,669,男,184,184,281,自然死,715,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,道理,普通,普通,实绩,刚胆,刚胆,丁宁,普通,现状维持,重视,0,97,124,124,255,124,124,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
716,士兵,,,,,,无,0,0,1,1,1,1,1,5,100,670,男,184,184,281,自然死,716,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,道理,普通,普通,实绩,刚胆,刚胆,丁宁,普通,现状维持,重视,0,119,101,101,255,101,101,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
717,男,,,,,,无,0,0,1,1,1,1,1,5,100,671,男,184,184,281,自然死,717,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,道理,普通,普通,实绩,小心,小心,丁宁,普通,现状维持,重视,0,101,74,79,255,79,79,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
718,女,,,,,,无,0,0,1,1,1,1,1,5,100,672,女,184,184,281,自然死,718,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,道理,普通,普通,实绩,小心,小心,丁宁,普通,现状维持,重视,1,126,126,126,255,126,126,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
719,老人,,,,,,无,0,0,1,1,1,1,1,5,100,673,男,184,184,281,自然死,719,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,故事,普通,普通,实绩,小心,小心,丁宁,普通,现状维持,重视,0,110,124,124,255,124,124,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
720,小孩,,,,,,无,0,0,1,1,1,1,1,5,100,674,男,184,184,281,自然死,720,,,,,0,0,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,故事,普通,普通,实绩,猪突,莽撞,丁宁,普通,现状维持,重视,0,83,83,89,255,89,89,255,255,255,255,255,255,0,,,,,,,,0,健康,,,0,0,0
721,努尔哈赤,努尔哈赤,努尔哈赤,,,都督,无,0,0,95,85,75,65,65,385,100,1100,男,184,170,269,自然死,721,,,,,1,0,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｓ+10%,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,0,12,20,12,85,12,12,255,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
722,皇太极,努尔哈赤,努尔哈赤,,,一般,无,0,0,85,85,80,75,70,395,100,1101,男,184,170,269,自然死,721,努尔哈赤,,,,2,0,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,0,26,79,3,255,3,3,255,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
723,多尔衮,努尔哈赤,努尔哈赤,,,一般,无,0,0,90,80,85,80,60,395,100,1102,男,184,170,269,自然死,721,努尔哈赤,,,,1,0,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｓ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,0,112,111,112,255,112,71,255,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
724,耶律亿,努尔哈赤,努尔哈赤,,,一般,无,0,0,85,90,85,75,75,410,100,1103,男,184,170,269,自然死,724,,,,,1,0,,,,,,,,,,,,Ａ,Ｂ,Ａ,Ｓ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,2,71,72,73,12,73,73,20,255,255,255,2,255,512,,,,,,,,0,健康,,,0,0,0
725,完颜旻,努尔哈赤,努尔哈赤,,,一般,无,0,0,100,85,75,65,70,395,100,1104,男,184,170,269,自然死,725,,,,,1,0,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｓ+10%,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,幽州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,2,36,72,27,112,27,72,20,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
726,成吉思汗,成吉思汗,成吉思汗,,,都督,无,0,0,110,90,85,45,50,380,100,1105,男,184,170,269,自然死,726,,,,,1,0,,,,,,,,,,,,Ａ,Ｂ,Ｓ,Ｓ+20%,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,凉州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,0,30,61,52,255,93,6,20,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
727,速不台,成吉思汗,成吉思汗,,,一般,无,0,0,100,100,75,30,45,350,100,1106,男,184,170,269,自然死,727,,,,,1,0,,,,,,,,,,,,Ａ,Ｂ,Ｓ,Ｓ+10%,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,凉州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,2,72,35,72,255,72,72,20,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
728,木华黎,成吉思汗,成吉思汗,,,一般,无,0,0,105,95,90,50,55,395,100,1107,男,184,170,269,自然死,728,,,,,1,0,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｓ+20%,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,凉州,,时节,普通,普通,实绩,刚胆,刚胆,蛮族,无视,地方统一,重视,0,4,71,8,112,111,6,20,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
729,拖雷,成吉思汗,成吉思汗,,,一般,无,0,0,95,85,70,60,65,375,100,1108,男,184,170,269,不自然死,726,成吉思汗,,,,2,0,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｓ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,凉州,,时节,容易背叛,普通,任意,刚胆,刚胆,殷勤,重视,现状维持,重视,0,24,36,76,255,76,6,255,255,255,255,1,255,512,,,,,,,,0,健康,,,0,0,0
730,忽必烈,成吉思汗,成吉思汗,,,一般,无,0,0,80,80,80,80,70,390,100,1109,男,184,170,269,不自然死,726,拖雷,,,,3,0,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｓ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,普通型,普通型,普通型,普通型,普通型,凉州,,时节,容易背叛,普通,任意,刚胆,刚胆,殷勤,重视,现状维持,重视,0,72,80,106,255,106,4,255,255,255,255,255,255,512,,,,,,,,0,健康,,,0,0,0
